method,coverage,tau_init,total,SR,SCR,STUCK,MISDET,OOT,NOT_REACHED,ALL_EXP
Baseline,,,330,8.484848484848486,31.212121212121215,30.303030303030305,4.545454545454546,18.787878787878785,0.30303030303030304,6.363636363636363
Argmax,,,330,13.939393939393941,12.424242424242424,26.36363636363636,32.121212121212125,4.545454545454546,2.4242424242424243,8.181818181818182
OACP,0,0.48,330,12.121212121212121,10.303030303030303,28.18181818181818,32.121212121212125,6.0606060606060606,1.8181818181818181,9.393939393939393
OACP,20,0.48,326,12.269938650306749,8.588957055214724,29.754601226993866,32.82208588957055,4.9079754601226995,2.147239263803681,9.509202453987731
OACP,40,0.48,330,12.727272727272727,9.393939393939393,29.393939393939394,31.818181818181817,4.848484848484849,2.4242424242424243,9.393939393939393
OACP,60,0.48,325,12.307692307692308,9.538461538461538,30.153846153846153,32.30769230769231,3.6923076923076925,1.5384615384615385,10.461538461538462
OACP,70,0.48,330,11.818181818181818,9.696969696969697,32.42424242424242,30.606060606060602,4.545454545454546,1.8181818181818181,9.090909090909092
OACP,80,0.48,321,12.461059190031152,7.476635514018691,33.95638629283489,31.15264797507788,4.984423676012461,1.8691588785046727,8.09968847352025
OACP,90,0.48,330,12.727272727272727,10.303030303030303,29.393939393939394,30.909090909090907,4.848484848484849,2.1212121212121215,9.696969696969697
OACP,95,0.48,330,12.121212121212121,9.393939393939393,29.6969696969697,31.515151515151512,5.151515151515151,1.8181818181818181,10.303030303030303
OACP,0,0.35,330,12.121212121212121,10.303030303030303,28.78787878787879,32.121212121212125,5.757575757575758,1.8181818181818181,9.090909090909092
OACP,20,0.35,330,11.818181818181818,9.090909090909092,30.303030303030305,32.42424242424242,4.848484848484849,2.4242424242424243,9.090909090909092
OACP,40,0.35,330,12.727272727272727,9.393939393939393,29.393939393939394,31.818181818181817,4.848484848484849,2.4242424242424243,9.393939393939393
OACP,60,0.35,330,12.424242424242424,9.696969696969697,30.303030303030305,31.818181818181817,3.6363636363636362,1.8181818181818181,10.303030303030303
Fixed-CP,0,,330,12.424242424242424,11.212121212121213,28.484848484848484,33.03030303030303,5.757575757575758,1.8181818181818181,7.2727272727272725
Fixed-CP,20,,330,12.727272727272727,12.424242424242424,28.484848484848484,30.909090909090907,5.151515151515151,2.1212121212121215,8.181818181818182
Fixed-CP,40,,330,13.939393939393941,11.515151515151516,28.484848484848484,30.606060606060602,5.757575757575758,1.8181818181818181,7.878787878787878
Fixed-CP,60,,330,10.909090909090908,10.909090909090908,28.78787878787879,30.909090909090907,6.0606060606060606,2.4242424242424243,10.0
Fixed-CP,70,,330,11.515151515151516,11.212121212121213,29.09090909090909,32.121212121212125,5.151515151515151,2.1212121212121215,8.787878787878787
Fixed-CP,80,,330,12.121212121212121,10.0,30.606060606060602,31.515151515151512,5.454545454545454,1.8181818181818181,8.484848484848486
Fixed-CP,90,,330,10.606060606060606,9.696969696969697,30.0,31.212121212121215,4.848484848484849,2.727272727272727,10.909090909090908
Fixed-CP,95,,330,11.818181818181818,8.484848484848486,30.303030303030305,31.212121212121215,6.0606060606060606,2.1212121212121215,10.0
